variable_x,variable_y,method,coefficient,raw_p_value,bh_adjusted_p_value,n
lat,lon,pearson,-0.01923258592391262,0.054455434933812302,0.062833194154398808,10000
lat,lidar_distance_m,pearson,0.083789887905181354,4.750926625363725e-17,7.7944889947373607e-17,10000
lat,battery_soc,pearson,0.17092660287053393,1.9673161732594581e-66,4.1313639638448621e-66,10000
lat,wheel_torque_fl,pearson,0.22082832247062847,1.0412534448007945e-110,2.4848093569109868e-110,10000
lat,wheel_torque_fr,pearson,0.21735054412866639,3.1598514666486814e-107,6.9121750832939908e-107,10000
lat,wheel_torque_rl,pearson,0.24337302302298869,9.0748687559250231e-135,3.0737458689423467e-134,10000
lat,wheel_torque_rr,pearson,0.22284597335323197,9.3230643357562403e-113,2.3307660839390601e-112,10000
lat,ambient_temp_c,pearson,-0.1553420357969289,4.751543182989879e-55,9.4134346078101375e-55,10000
lat,battery_soc_roll_mean_50,pearson,0.2280999164335365,3.4690760234954532e-118,9.585604801763752e-118,10000
lat,battery_soc_roll_std_50,pearson,0.035054285266097905,0.00045477938531678514,0.00059689794322828052,10000
lat,cumulative_distance_m,pearson,-0.2316676425162775,5.9371738308706218e-122,1.7811521492611865e-121,10000
lat,wheel_imbalance_score,pearson,-0.019835595478252546,0.047310857666012958,0.055528785130584186,10000
lat,lidar_saturation_rate,pearson,0.0049159535857276615,0.6230467776251849,0.66755011888412663,10000
lat,composite_health_score,pearson,0.1664258119570089,4.9927245926313215e-63,1.0279138867182132e-62,10000
lon,lidar_distance_m,pearson,-0.11788080158793475,2.8017979998707497e-32,4.8227670489578479e-32,10000
lon,battery_soc,pearson,-0.55854310659436202,0,0,10000
lon,wheel_torque_fl,pearson,-0.2224040438212711,2.6295851237334538e-112,6.4210799533026196e-112,10000
lon,wheel_torque_fr,pearson,-0.22472905899115625,1.0955915878835834e-114,2.8759279181944065e-114,10000
lon,wheel_torque_rl,pearson,-0.22679725747752427,7.931997184805426e-117,2.1355377036014608e-116,10000
lon,wheel_torque_rr,pearson,-0.21915699776800796,4.9949279474432974e-109,1.1401465966990135e-108,10000
lon,ambient_temp_c,pearson,-0.86197911206509759,0,0,10000
lon,battery_soc_roll_mean_50,pearson,-0.74003916074415255,0,0,10000
lon,battery_soc_roll_std_50,pearson,0.011751996475756248,0.23995738526498275,0.26521605739813886,10000
lon,cumulative_distance_m,pearson,0.73911784931209534,0,0,10000
lon,wheel_imbalance_score,pearson,0.031622234868185453,0.0015635678950926964,0.0019780075781293148,10000
lon,lidar_saturation_rate,pearson,-0.004955629966794748,0.62024433568886495,0.66755011888412663,10000
lon,composite_health_score,pearson,-0.54285769148851859,0,0,10000
lidar_distance_m,battery_soc,pearson,0.11936913222824072,4.6186321622111485e-33,8.0826062838695089e-33,10000
lidar_distance_m,wheel_torque_fl,pearson,-0.001134590215587815,0.90967786431229747,0.91842476685376184,10000
