variable,mean,median,standard_deviation,skewness,normality_statistic,normality_p_value,normality_p_value_report,n
lat,40.110414828180815,40.11041146640045,8.6976945969814297e-05,0.11516859691065673,719.94981071130269,4.6225857950188111e-157,p < 0.001,10000
lon,-88.207308052882567,-88.20738965133404,0.00019734282134301312,1.0084374873086794,1199.9979692454344,2.6530890721846171e-261,p < 0.001,10000
lidar_distance_m,35.055678865627328,34.97576809152816,6.2224732727255869,0.80318117054371818,2588.8110736413141,0,p < 0.001,10000
battery_soc,90.199057731278103,90.679548451969197,6.8144389250287167,-1.5008801859365368,3184.8977477953526,0,p < 0.001,10000
wheel_torque_fl,12.005812814844772,11.985157486667301,1.3516491707377734,1.6116600287965508,4972.1520496051753,0,p < 0.001,10000
wheel_torque_fr,11.997248425073293,12.009228671921228,1.3249743581252202,-0.13085231547453596,1907.9922329712315,0,p < 0.001,10000
wheel_torque_rl,12.007540770113422,12.012027023389571,1.3232870873816478,0.62077517160655227,2849.2627201186879,0,p < 0.001,10000
wheel_torque_rr,12.001642399602989,12.016337972556595,1.3828159615151259,1.1192047038989454,4305.8182341704351,0,p < 0.001,10000
ambient_temp_c,22.533394281870113,23.209751697814532,3.0019793923946256,-0.45553457029410777,478.43940590086402,1.282930252005372e-104,p < 0.001,10000
battery_soc_roll_mean_50,90.242912318301165,90.074684126178113,5.1529040630403751,0.0036773844076364824,8133.0231973818891,0,p < 0.001,10000
battery_soc_roll_std_50,3.8598922101963535,3.9774598228601983,2.2463874476750889,-0.22894835880390887,156.31185454206502,1.1410693975992549e-34,p < 0.001,10000
cumulative_distance_m,1826.6262142949247,1822.918802875738,1057.9258348786789,0.0068769999419062266,8403.4846137229742,0,p < 0.001,10000
wheel_imbalance_score,0.10028617933831535,0.084054630176949363,0.11206829507468066,8.5252737765134814,14234.905906712171,0,p < 0.001,10000
lidar_saturation_rate,0.011036000000000001,0,0.015773128515241222,1.4655253736693896,2498.5334604131958,0,p < 0.001,10000
composite_health_score,89.205118582594281,89.696894085276625,6.913581362524817,-1.3595625251073873,2822.570182018183,0,p < 0.001,10000
